"ESTADO";"$";"ABRE_C";"ABRE_P";"ATRIB";"DIFERENTE";"DIV";"ECHO";"ELSE";"FECHA_C";"FECHA_P";"FLOATVAL";"FUNCTION";"IDENT";"IF";"IGUAL";"MAIOR";"MAIOR_IGUAL";"MENOR";"MENOR_IGUAL";"MULT";"NUMERO_REAL";"PHP_CLOSE";"PHP_EOL;";"PHP_OPEN";"PONTO";"PV";"SOMA";"SUB";"VAR";"VIRG";"WHILE"
"56";"";"";"s12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"57";"";"";"";"";"";"";"";"";"";"s82";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"58";"";"r13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"59";"";"";"";"";"";"";"";"";"";"r14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s14";""
"61";"";"";"";"";"";"";"";"";"r17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"62";"";"";"";"";"";"";"r18";"";"";"";"";"";"";"r18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"r18";"";"r18"
"63";"";"";"";"";"";"";"";"";"";"s84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"64";"";"";"";"";"";"";"";"";"";"r58";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"65";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s21";""
"66";"";"";"";"";"";"";"";"";"r22";"";"";"";"";"";"";"";"";"";"";"";"";"r22";"";"";"";"";"";"";"";"";""
"67";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s86";"";"";"";"";"";""
"68";"";"";"";"";"";"";"";"";"";"";"s38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s40";"";"";""
"69";"";"";"";"";"";"";"";"";"";"";"s38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s40";"";"";""
"70";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s89";"";"";"";"";""
"71";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"r29";"";"";"";"";""
"72";"";"";"";"";"";"";"";"";"";"";"s38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s40";"";"";""
"73";"";"";"";"";"r41";"";"";"";"";"r41";"";"";"";"";"r41";"r41";"r41";"r41";"r41";"";"";"";"";"";"";"r41";"";"";"";"r41";""
"74";"";"";"";"";"";"s49";"";"";"";"";"";"";"";"";"";"";"";"";"";"s48";"";"";"";"";"";"";"";"";"";"";""
"75";"";"";"";"";"";"";"";"";"";"s92";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"76";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s45";"s40";"";"";""
"77";"";"";"";"";"";"s49";"";"";"";"";"";"";"";"";"";"";"";"";"";"s48";"";"";"";"";"";"";"";"";"";"";""
"78";"";"";"";"";"";"";"s24";"";"";"";"";"";"";"s25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s27";"";"s26"
"79";"r1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"80";"";"";"";"";"";"";"r9";"";"";"";"";"r9";"";"r9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"r9";"";"r9"
"81";"";"s96";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"82";"";"r12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"83";"";"";"";"";"";"";"";"";"";"r15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"r56";"";"";"";"";""
"85";"";"";"";"";"";"";"";"";"";"r59";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"86";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s97";"";"";"";"";"";"";"";""
"87";"";"";"";"";"";"";"";"";"";"s98";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"88";"";"";"";"";"";"";"";"";"";"s99";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"89";"";"";"";"";"";"";"r28";"";"r28";"";"";"";"";"r28";"";"";"";"";"";"";"";"r28";"";"";"";"";"";"";"r28";"";"r28"
"90";"";"";"";"";"";"";"";"";"";"r33";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"91";"";"";"";"";"r46";"";"";"";"";"r46";"";"";"";"";"r46";"r46";"r46";"r46";"r46";"";"";"";"";"";"";"r46";"r46";"r46";"";"r46";""
"92";"";"";"";"";"r55";"r55";"";"";"";"r55";"";"";"";"";"r55";"r55";"r55";"r55";"r55";"r55";"";"";"";"";"";"r55";"r55";"r55";"";"r55";""
"93";"";"";"";"";"r42";"";"";"";"";"r42";"";"";"";"";"r42";"r42";"r42";"r42";"r42";"";"";"";"";"";"";"r42";"";"";"";"r42";""
"94";"";"";"";"";"r49";"";"";"";"";"r49";"";"";"";"";"r49";"r49";"r49";"r49";"r49";"";"";"";"";"";"";"r49";"r49";"r49";"";"r49";""
"95";"";"";"";"";"";"";"";"";"s100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"96";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s7";"";""
"97";"";"";"";"";"";"";"r0";"";"r0";"";"";"";"";"r0";"";"";"";"";"";"";"";"r0";"";"";"";"";"";"";"r0";"";"r0"
"98";"";"s102";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"99";"";"s103";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"100";"";"";"";"";"";"";"r31";"";"r31";"";"";"";"";"r31";"";"";"";"";"";"";"";"r31";"";"";"";"";"";"";"r31";"";"r31"
"101";"";"";"";"";"";"";"";"";"s104";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"102";"";"";"";"";"";"";"s24";"";"";"";"";"";"";"s25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s27";"";"s26"
"103";"";"";"";"";"";"";"s24";"";"";"";"";"";"";"s25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s27";"";"s26"
"104";"";"";"";"";"";"";"r11";"";"";"";"";"";"";"r11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"r11";"";"r11"
"105";"";"";"";"";"";"";"";"";"s107";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"106";"";"";"";"";"";"";"";"";"s108";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"107";"";"";"";"";"";"";"";"s50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"108";"";"";"";"";"";"";"r27";"";"r27";"";"";"";"";"r27";"";"";"";"";"";"";"";"r27";"";"";"";"";"";"";"r27";"";"r27"
"109";"";"";"";"";"";"";"r26";"";"r26";"";"";"";"";"r26";"";"";"";"";"";"";"";"r26";"";"";"";"";"";"";"r26";"";"r26"
